s,A_trim,A_bank,w_trim,w_bank,d_trim,d_bank,R_trim,R_bank,reliable,sL,sR,ratio
275.0,6.860565185546875,75.12548828125,7.5027300344246495,28.279577995478522,1.9478759765625,6.0849609375,0.8370744621458653,2.422752359483895,False,capped,capped,10.950335176395752
280.0,4.1474609375,66.94384765625,6.745475403901899,26.320367132867133,1.137939453125,5.4073486328125,0.6327967733438327,2.3343171725028844,False,capped,capped,16.140923004473745
285.0,3.33642578125,56.23785400390625,7.007983473483481,24.749634502923975,1.0557861328125,4.8709716796875,0.5544006856963516,2.100169128229094,False,capped,capped,16.85571857163764
290.0,1.09228515625,54.708038330078125,7.030406053824221,24.92828418230563,0.3140869140625,4.3038330078125,0.1959075088790708,2.0618023522500883,False,capped,capped,50.08585717478766
300.0,0.1695556640625,77.70925903320312,6.6610207243812765,27.1758304696449,0.119873046875,5.363525390625,0.05513048058533728,2.5975430225956107,False,capped,capped,458.31119510439163
305.0,2.84149169921875,77.41339111328125,6.772504747529827,28.94279127192098,0.937255859375,5.5877685546875,0.4655194549751973,2.5236397945725417,False,capped,capped,27.243926538502848
310.0,4.069183349609375,76.38809204101562,6.770719454131459,29.550165380374864,1.370361328125,6.0291748046875,0.6220569586552203,2.3161066885909483,False,crest,capped,18.77233967556379
315.0,1.94805908203125,72.04006958007812,5.878784202420142,27.6614406779661,0.8397216796875,5.82421875,0.4376211747290243,2.3579106751528194,False,crest,capped,36.9804336247141
320.0,2.08502197265625,69.06594848632812,6.5485572757323744,28.9283042394015,0.694091796875,5.1973876953125,0.43216880490357645,2.2329319145939532,False,capped,capped,33.124806065396214
325.0,6.19549560546875,60.24078369140625,8.022303211353261,28.326829268292684,1.0791015625,4.388427734375,0.7878603395311151,2.0110992013894515,False,capped,capped,9.723319574019525
330.0,4.84906005859375,51.557220458984375,8.793829904103669,28.051724137931032,0.82861328125,3.7723388671875,0.5456029479104414,1.7414832264269968,False,capped,capped,10.63241532090576
355.0,0.68695068359375,6.22222900390625,7.654982376342952,5.527201145311381,0.5306396484375,2.2120361328125,0.2667117623862453,0.8292648236666148,False,capped,crest,9.057752110173256
360.0,2.540985107421875,27.209747314453125,5.122215758268618,17.555584826132772,0.9908447265625,3.336669921875,0.506138438543726,1.4252642678720304,True,crest,crest,10.708345843892245
365.0,2.23785400390625,34.19482421875,5.036301543989348,23.633763094278805,1.1705322265625,4.1673583984375,0.5111349801628244,1.3297551953125586,False,crest,capped,15.28018546297559
370.0,3.475982666015625,32.81317138671875,6.322154515734754,22.15068493150685,1.453125,4.0006103515625,0.6452183638004512,1.3652042799497262,True,crest,crest,9.43996979833364
375.0,2.10552978515625,34.433807373046875,4.976769941285106,23.468299270564746,0.9713134765625,4.033447265625,0.4455544025827127,1.3748793149163394,False,capped,capped,16.35398730324376
380.0,4.12835693359375,38.801727294921875,5.542051596527754,22.328260869565216,1.708251953125,4.730712890625,0.789295291374384,1.5673017744362758,False,crest,capped,9.398830556335842
385.0,2.488800048828125,41.27606201171875,5.013781079555925,24.34324659231722,1.1966552734375,4.487060546875,0.607744928319269,1.570148427513587,True,crest,crest,16.584724044486407
390.0,2.76483154296875,39.021270751953125,5.36092508233727,24.660324171952077,0.947265625,3.9737548828125,0.508624652013036,1.4775360363893928,False,crest,capped,14.11343517516943
395.0,3.09857177734375,45.6202392578125,6.560739011676362,28.235294117647058,0.87060546875,4.102783203125,0.5150698358133833,1.5215802132944027,True,crest,crest,14.722989343471152
400.0,2.80224609375,39.43670654296875,6.847661768230492,23.003510825043886,0.7169189453125,3.8892822265625,0.47006658495188547,1.5794878988455294,False,crest,capped,14.073248823836906
405.0,1.89422607421875,35.393829345703125,5.943860974698949,21.07109557109557,0.8253173828125,4.0174560546875,0.4188507286124842,1.535236093370061,False,crest,capped,18.68511358144031
410.0,3.851776123046875,27.565032958984375,5.625304644312689,18.908552074513125,1.3140869140625,3.46484375,0.6789530293245096,1.367399847768346,False,crest,capped,7.156447331933605
415.0,1.69500732421875,22.908843994140625,5.40244668864111,17.05476753349094,0.91748046875,3.3580322265625,0.41648048298607987,1.2197699280920833,False,crest,capped,13.515483778041842
420.0,1.56982421875,29.573974609375,5.6908312799731124,19.69202695115104,0.8797607421875,4.007080078125,0.43283195263674534,1.3424312865102248,False,crest,capped,18.83903576982893
425.0,3.22064208984375,39.944000244140625,6.358359246703818,23.349410131852878,1.111572265625,3.9437255859375,0.5721293414148984,1.6046870123028072,False,crest,capped,12.402495878105634
430.0,5.6021728515625,32.9046630859375,7.343522169598404,17.990999379267535,1.4588623046875,3.909912109375,0.7052279319631086,1.6584684753701098,False,crest,capped,5.873553701000152
435.0,3.673492431640625,35.862701416015625,6.809135914259251,17.979314002828854,1.3485107421875,4.27783203125,0.6359205520509603,1.8108737688783854,False,crest,capped,9.76256303323835
440.0,2.313720703125,44.03314208984375,5.130860496129135,21.353421461897355,1.06396484375,4.7200927734375,0.4714838671777774,1.8630808308585798,False,crest,capped,19.031312651683024
445.0,1.04669189453125,45.921478271484375,4.289110997067707,22.285815268614513,0.6461181640625,4.79052734375,0.35446614800709136,1.8580353706210149,False,crest,capped,43.87296635372325
450.0,2.4300537109375,40.724273681640625,5.305781299589787,19.23219874804382,0.8736572265625,4.14990234375,0.48462449305566796,1.9173885000303341,False,crest,capped,16.758589943236046
455.0,3.534912109375,52.04705810546875,5.512249410087399,22.630809774796358,1.1634521484375,5.0396728515625,0.6115389134698477,2.0506740703614725,False,crest,capped,14.723720560812211
460.0,3.3629150390625,50.34564208984375,5.400687278913442,24.964751958224543,1.300537109375,5.01953125,0.6195542443525837,1.8561023681607562,False,crest,capped,14.970833787070312
465.0,2.3258056640625,56.20989990234375,5.04601357988315,24.356023102310232,1.0367431640625,5.2362060546875,0.49603566417124784,2.0925544155625495,False,crest,capped,24.167926310817194
470.0,2.56982421875,58.882110595703125,4.994837895311434,24.124373956594326,1.05810546875,5.410400390625,0.5392942320458477,2.182542300547096,False,crest,capped,22.912894261827855
475.0,1.74688720703125,69.46832275390625,5.303357544198462,27.431689218681797,0.820556640625,5.765380859375,0.38372229502527333,2.319481383476752,False,capped,capped,39.766919394849936
480.0,0.642913818359375,71.06561279296875,5.676628538231803,26.872305140961856,0.5137939453125,5.778076171875,0.2340449413852366,2.4137755344180194,False,crest,capped,110.53676365880287
485.0,1.289581298828125,76.59661865234375,5.866440669122871,29.19331395348837,0.7198486328125,6.03076171875,0.39705698776958054,2.390226088988304,False,capped,capped,59.396502354639466
490.0,2.712738037109375,76.67459106445312,6.2399260353125285,29.3468809073724,1.1007080078125,5.9215087890625,0.6000987838640852,2.404162362987495,False,capped,capped,28.264649964563343
495.0,1.6268310546875,92.26007080078125,6.5005403171253135,30.12971175166297,0.6776123046875,6.0264892578125,0.3368962417503782,2.8141572166930144,False,capped,capped,56.711525474600435
500.0,3.75885009765625,89.68093872070312,7.230884509434169,30.550713749060858,1.0888671875,5.9490966796875,0.6242263191211324,2.7078133845879973,False,capped,capped,23.85861005114882
505.0,4.9329833984375,90.02374267578125,6.666114169663963,30.37807183364839,1.443359375,6.025634765625,0.6825907050549133,2.7607732033959653,False,capped,capped,18.249350424389398
510.0,5.916259765625,81.4769287109375,6.472257976249187,30.705940594059406,1.6878662109375,5.8017578125,0.8308662252834454,2.4486075020907165,False,capped,capped,13.771695621672926
515.0,4.615447998046875,87.693115234375,6.516775637956181,29.565085493656923,1.29296875,5.985595703125,0.702898567097793,2.726751533272443,False,crest,capped,18.999914043335384
520.0,4.1004638671875,67.20379638671875,6.742189171154356,27.3715953307393,1.235595703125,5.0897216796875,0.5814514877675446,2.3073637196018852,False,capped,capped,16.38931559048555
525.0,3.340087890625,69.66519165039062,6.517483820651605,27.86371527777778,1.1590576171875,5.1905517578125,0.5481514342546016,2.3466881792361294,False,capped,capped,20.85729296104086
530.0,2.8199462890625,68.13937377929688,6.165139702342421,26.64086787564767,0.8892822265625,5.0950927734375,0.5323496795328874,2.3766579019245957,False,crest,capped,24.163358729059347
535.0,2.995361328125,78.8330078125,6.829120885650585,28.781370923161965,0.9893798828125,5.806396484375,0.5409649592028489,2.5324493610605225,False,crest,capped,26.31836335479664
540.0,2.80914306640625,75.69049072265625,6.542606096430184,29.701807228915662,1.131103515625,6.197998046875,0.5325735538901054,2.3105949128218084,False,crest,capped,26.944334600760456
545.0,3.214263916015625,76.20382690429688,5.751781026038701,27.339265536723165,1.0946044921875,5.967529296875,0.5643158692055222,2.5212670397507386,False,crest,capped,23.70801803940185
